Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD
2010,India,Maharashtra,Vegetables,2.42,2339.26,9.06,1.36,6,35.56,25.4,72.7,65.45,No Adaptation,382.27
2023,India,West Bengal,Fruits,-4.71,907.74,23.63,1.233,0,76.68,21.3,30.91,55.32,Organic Farming,415.94
2009,India,Maharashtra,Soybeans,-2.61,1507.34,22.19,2.484,10,99.3,7.11,47.59,54.54,Drought-resistant Crops,873.5
2012,India,Tamil Nadu,Rice,11.61,358.36,7.25,3.564,10,11.69,13.75,27.49,33.1,Drought-resistant Crops,1293.63
1998,India,West Bengal,Sugarcane,31.15,2822.58,2.11,0.97,2,17.14,37.97,19.23,34.49,Drought-resistant Crops,221.31
2002,India,Tamil Nadu,Barley,15.5,934.54,7.84,4.94,0,83.99,41.3,3.97,63.5,Crop Rotation,973.6
2021,India,Punjab,Coffee,0.39,2027.43,20.87,2.466,4,73.15,35.27,55.36,35.98,No Adaptation,1072.01
2017,India,Maharashtra,Wheat,31.13,244.03,24.78,1.926,0,47.34,16.99,76.73,82.88,No Adaptation,872.04
2017,India,Tamil Nadu,Wheat,6.94,2814.06,18.28,1.224,10,70.09,12.96,94.37,54.23,No Adaptation,338.97
2007,India,West Bengal,Barley,30.96,1147.83,8.99,3.35,8,66.29,28.05,92.8,84.22,Drought-resistant Crops,728.19
2013,India,Tamil Nadu,Barley,14.99,1029.91,1.9,1.75,0,21.9,2.4,72.26,41,Crop Rotation,633.75
2014,India,Punjab,Fruits,12.05,371.65,6.79,1.836,5,14.13,49.67,78.24,40.76,Drought-resistant Crops,682.01
2014,India,Maharashtra,Soybeans,12.84,1429.93,21.5,3.564,3,68.27,40.33,2.52,83.78,Water Management,1737.52
2004,India,Tamil Nadu,Corn,17,2921.79,1.73,2.39,0,93.49,43.75,77.62,73.69,Drought-resistant Crops,931.8
2003,India,Punjab,Fruits,12.44,839.18,27.83,3.798,0,76.81,27.91,54.53,43.95,Water Management,818.25
1997,India,Punjab,Fruits,-4.89,2028.96,16.95,2.385,3,15.67,3.87,39.76,56.19,Organic Farming,725.81
2002,India,West Bengal,Rice,-0.66,267.14,13.99,0.981,8,18.05,4.04,3.43,76.29,Drought-resistant Crops,304.6
2020,India,Punjab,Soybeans,22.58,725.09,18.75,3.42,9,54.69,42.81,58.29,43.02,No Adaptation,444.48
1997,India,West Bengal,Barley,2.68,2795.26,9.01,0.77,4,97.86,33.28,79.57,66.22,Crop Rotation,296.12
2018,India,Punjab,Wheat,5.59,1548.02,20.46,1.539,9,92.28,45.77,21.99,54.19,Drought-resistant Crops,685.87
2003,India,Punjab,Wheat,28.25,2311.04,12.21,1.5,1,61.84,29.78,65.44,83.76,Crop Rotation,231.65
2002,India,West Bengal,Coffee,22.81,1006.93,18.11,1.701,2,72.06,24.7,63.6,91.82,No Adaptation,703.7
2022,India,Punjab,Coffee,28.29,1983.86,10.6,1.28,2,52.49,33.47,73.51,67.36,Organic Farming,523.91
2014,India,West Bengal,Cotton,13.96,2312.02,7.4,4.83,8,22.5,31.72,22.93,76.22,Organic Farming,919.87
2013,India,Tamil Nadu,Fruits,9.22,1904.94,15.82,0.882,2,99.45,26.52,16.96,50.15,Water Management,211.03
1991,India,Punjab,Barley,20.13,1323.08,8.71,2.87,4,67.21,35.11,96.33,46.21,Water Management,862.62
2001,India,Tamil Nadu,Rice,-0.73,2932.62,3.07,3,10,65.39,11.79,19.66,55.62,Crop Rotation,613.7
2020,India,Punjab,Cotton,23.41,1098.09,11.8,3.46,8,65.02,30.37,74.95,84.32,Water Management,373.38
2013,India,West Bengal,Vegetables,-3.41,2986.7,13.17,1.97,3,36.56,21.7,48.27,60.05,Crop Rotation,428.93
2003,India,West Bengal,Vegetables,8.54,1743.3,15.95,2.277,9,51.15,35.24,11.43,46.88,Organic Farming,1043.81
2012,India,Punjab,Vegetables,30.24,2015.55,19.05,1.242,10,41.7,42.01,34.91,96.24,Drought-resistant Crops,389.51
2013,India,West Bengal,Cotton,-1.62,1377.84,2.57,0.82,1,68.25,14.68,41.52,42.94,Crop Rotation,326.87
2020,India,Punjab,Sugarcane,34.45,1108.25,25.75,3.231,0,83.89,41.02,23.73,43.69,No Adaptation,721.57
2006,India,West Bengal,Wheat,4.15,2772.52,25.53,0.621,1,43.42,44.35,80.51,68.1,Crop Rotation,224.75
1999,India,West Bengal,Wheat,30.28,262.17,1.65,3.141,9,77.52,2.31,75.97,40.9,Drought-resistant Crops,933.04
2000,India,Maharashtra,Barley,21.6,2036.8,28.23,0.783,4,28.39,43.21,52.13,42.72,Crop Rotation,307.66
2008,India,Maharashtra,Coffee,11.27,2006.38,6.43,2.37,2,73.97,19.42,54.78,34.01,Water Management,609.82
2003,India,West Bengal,Vegetables,-3.92,1500.03,25.69,1.359,1,31.15,46.13,21.7,47.02,Water Management,181.73
2005,India,Tamil Nadu,Sugarcane,19.1,1940.04,7.24,3.15,1,30.51,49.73,74.43,34.14,Crop Rotation,1146.99
2024,India,Punjab,Wheat,1.5,1773.88,17.03,1.998,1,18.25,35.31,53.02,94.62,Water Management,624.52
2021,India,Punjab,Rice,16.43,1269.97,13.71,4.36,2,98.22,38.65,18.52,32.32,Drought-resistant Crops,522.33
1992,India,Punjab,Corn,22.84,662.66,12.33,2.35,3,78.91,15.89,10.74,96.54,Organic Farming,815
2002,India,Tamil Nadu,Sugarcane,22.9,2565.01,19.79,3.096,9,77.32,17.76,23.81,61.45,Organic Farming,1350.02
2023,India,Tamil Nadu,Rice,25.41,2841.82,17.01,2.826,10,97.76,44.95,29.52,98.19,Crop Rotation,307.12
2004,India,Tamil Nadu,Corn,26.77,2698.16,19.38,1.926,0,59.9,8.85,99.3,32.54,Drought-resistant Crops,210.08
2019,India,Punjab,Coffee,10.4,1244.53,25.33,2.664,7,82.21,22.97,97.97,49.63,Drought-resistant Crops,806.07
1998,India,Punjab,Wheat,16.57,2114.84,30,3.663,9,53.27,15.03,75.86,68.01,Water Management,1241.3
1991,India,West Bengal,Vegetables,10.38,2625.5,20.89,3.456,8,80.86,0.94,4.36,91.95,No Adaptation,1309.13
1998,India,Punjab,Wheat,11.99,542.64,2.57,4.42,9,14.81,35.49,80.22,88.87,No Adaptation,1622.55
2006,India,Maharashtra,Coffee,18.65,2262.31,0.95,1.8,0,19.98,36.62,49.88,95.7,Water Management,515.64
1996,India,Tamil Nadu,Cotton,32.93,1130.57,29.21,3.024,4,47.58,15.24,13.92,42.05,Crop Rotation,1421.35
1998,India,Punjab,Barley,28.23,2799.83,23.12,1.098,0,64.3,42.75,17.93,77.55,Drought-resistant Crops,467.4
2012,India,Maharashtra,Coffee,21.24,238.01,0.63,1.566,7,35.01,4.24,55.19,99.49,Organic Farming,702.01
2006,India,Tamil Nadu,Soybeans,10.36,468.96,18.07,2.853,7,24.66,43.75,48.51,36.3,Crop Rotation,647.28
2009,India,Punjab,Coffee,7.33,2216.76,26.59,1.755,5,12.42,30.62,74.87,80.87,Water Management,657.96
2012,India,Tamil Nadu,Fruits,30.85,329.13,28.49,3.366,7,14.48,30.88,80.34,43.31,Organic Farming,451.23
2011,India,Maharashtra,Coffee,18.29,1535.93,24.25,1.584,1,37.64,17.93,93.66,37.02,Organic Farming,459.28
2023,India,West Bengal,Rice,0.2,2495.4,20.95,2.061,1,23.8,28.43,43.92,84.61,Water Management,243.13
1997,India,Punjab,Vegetables,27.26,555.91,19,2.106,1,25,49.22,41.18,68.44,Drought-resistant Crops,329.7
2004,India,Maharashtra,Soybeans,0.18,455.33,4.44,2.232,7,71.23,17.32,59.75,65.07,Crop Rotation,610.94
2000,India,West Bengal,Cotton,18.01,887.07,5.92,2.48,8,95.88,2.08,54.04,47.21,Organic Farming,861.93
1995,India,Punjab,Vegetables,21.13,698.01,13.16,1.6,0,94.31,34.51,86.74,98.45,Drought-resistant Crops,425.09
2022,India,Punjab,Corn,29.8,1488.31,18.9,3.123,7,46.18,17.84,54.54,84.44,Water Management,440.65
2014,India,Punjab,Wheat,24.45,463.37,12.71,2.313,1,39.96,7.26,0.24,46.48,Crop Rotation,859.34
2001,India,Tamil Nadu,Soybeans,-0.96,2329.19,27.6,1.683,3,75.92,18.76,82.43,40.11,Drought-resistant Crops,750.46
2015,India,Punjab,Sugarcane,-0.63,1213.41,2.06,2.51,5,90.78,29.26,32.39,64.05,Organic Farming,1008.27
2015,India,Tamil Nadu,Barley,-0.84,2323.88,12.94,2.36,4,73.82,39.58,59.83,32.57,Crop Rotation,799.07
1997,India,West Bengal,Wheat,-2.45,400.65,4.82,2.34,4,96.44,20.22,89.03,43.2,No Adaptation,414.44
2000,India,Maharashtra,Coffee,12.54,2610.53,5.19,2.81,1,85.12,23.75,9.08,37.85,Water Management,1049.61
1999,India,Tamil Nadu,Fruits,24.88,2469.16,18.25,3.186,8,10.07,17.53,91.8,92.4,Organic Farming,535.56
2011,India,Maharashtra,Vegetables,-1.82,2356.99,4.35,1.88,0,55.34,34.92,5.32,34.45,Drought-resistant Crops,716.18
2004,India,Punjab,Barley,-3.3,564.22,7.47,1.24,0,74.05,47.81,41.47,45.64,Crop Rotation,368.9
1996,India,West Bengal,Corn,6.08,814.97,9.31,1.8,0,62.89,1.43,2.08,65.45,Organic Farming,795.14
2006,India,Punjab,Fruits,12.9,1789.33,24.27,2.187,8,18.82,32.58,92.04,73.49,Crop Rotation,679.31
2013,India,Punjab,Fruits,-1.82,2348.91,22.64,2.277,9,62.14,49.19,99.28,40.97,Crop Rotation,838.99
1995,India,West Bengal,Coffee,-3.96,1176.38,15.1,0.936,4,67.3,7.33,30.78,80.1,Water Management,277.63
1990,India,Punjab,Vegetables,25.11,2829.62,16.8,0.9,1,63.89,33.77,94.56,51.92,Crop Rotation,295.99
2018,India,Tamil Nadu,Fruits,16.04,1180.2,15.61,3.501,1,63.82,21.44,46.97,77.25,Water Management,599.86
2023,India,Tamil Nadu,Sugarcane,-0.44,2879.03,6.58,1.43,9,70.56,19.53,33.9,91.04,No Adaptation,226.76
1994,India,Maharashtra,Fruits,1.36,344.26,29.45,1.701,10,73.72,34.25,77.88,77.05,Water Management,452.33
2014,India,Tamil Nadu,Soybeans,10.21,1182.99,23.65,1.503,0,84.94,22.13,10.87,86.75,No Adaptation,155.89
1997,India,West Bengal,Vegetables,1.5,1307.38,7.22,2.76,1,58.19,11.92,53.59,97.95,No Adaptation,503
2023,India,Punjab,Coffee,23.28,586.62,2.76,2.72,4,75.79,36.57,92.27,81.24,Organic Farming,584.26
2003,India,Punjab,Corn,26.8,1727.28,29.92,2.853,3,15.88,20.09,17.68,39.54,Water Management,323.35
2016,India,Punjab,Sugarcane,6.07,2159.83,28.97,0.468,0,64.32,42.92,34.82,88.55,Water Management,136.26
1991,India,West Bengal,Rice,-1.4,2771.04,26.67,1.845,3,13.13,5.76,64.97,92.64,Drought-resistant Crops,195.34
2019,India,Punjab,Coffee,29.1,1814.37,22.75,3.006,0,74.65,49.99,46.46,95,Organic Farming,1132.98
2013,India,Punjab,Wheat,32.47,354.71,21.87,1.458,0,45.41,43.48,96.99,77.85,Water Management,536.51
2018,India,Punjab,Barley,-4.31,2371.19,4.8,2.93,3,42.06,26.77,64.16,33.14,Drought-resistant Crops,459.21
2001,India,Punjab,Sugarcane,24.57,2863.51,1.03,2.94,6,88.56,22.99,45.48,48.63,No Adaptation,510.52
1999,India,West Bengal,Wheat,16.57,1359.42,4.58,3.62,5,64.44,13.12,83.1,40.95,No Adaptation,1480
2004,India,Tamil Nadu,Corn,2.95,2733.81,9.61,1.46,7,66.48,12.84,19.18,62.23,Organic Farming,362.93
2009,India,West Bengal,Sugarcane,15.7,1802.84,10.96,2.65,1,81.99,49.79,19.86,91.22,Crop Rotation,393.67
2018,India,Punjab,Barley,24.26,2411.97,9.17,3.88,3,16.74,7.13,5.97,46.19,No Adaptation,1759.53
2001,India,Punjab,Corn,28.56,1821.32,15.54,2.817,6,96.24,44.19,27.36,70.72,Organic Farming,740.89
2004,India,Punjab,Coffee,9.46,1803.35,1.06,1.7,1,79.18,28.53,83.2,85.28,No Adaptation,218.87
2019,India,West Bengal,Barley,18.13,968.39,25.26,2.097,7,26.57,49.09,77.13,81.22,No Adaptation,744.7
2001,India,Punjab,Coffee,10.73,2249.64,20.13,3.177,10,40.67,30.36,91.9,90.58,No Adaptation,1007.36
2007,India,West Bengal,Coffee,30.3,2167.09,6.05,1.39,4,62.15,48.94,76.71,49.45,Crop Rotation,247.12
2007,India,Punjab,Wheat,11.73,2924.33,26.67,4.014,1,70.28,33.65,40.46,95.81,Organic Farming,547.38
2019,India,West Bengal,Vegetables,15.51,2853.27,15.28,2.196,8,73.85,34.76,2.4,74.36,Organic Farming,950.68
2019,India,West Bengal,Soybeans,34.38,2497.22,6.98,3.26,6,29.41,46.68,39.14,69.36,Drought-resistant Crops,879.86
2017,India,Maharashtra,Barley,1.94,1345.81,4.76,2.6,7,31.19,43.41,36.42,75.34,No Adaptation,1128.57
2014,India,Tamil Nadu,Vegetables,-2.58,2309.76,8.01,1.93,4,34.48,33.09,42.19,40.43,No Adaptation,873.55
2005,India,Maharashtra,Rice,-3.86,1274.61,22.65,2.664,1,93.23,14.61,70.37,80.21,Drought-resistant Crops,683.26
2024,India,Maharashtra,Wheat,27.43,2934.53,2.08,0.96,6,42.95,45.75,37.61,37.2,Crop Rotation,142.87
1999,India,Tamil Nadu,Rice,-2.75,361.09,23.99,1.53,2,17.35,40.44,20.29,73.16,Crop Rotation,500.41
2001,India,Punjab,Corn,5.58,1146.21,13.57,1.53,9,64.36,22.4,36.66,59.11,Organic Farming,459.21
2004,India,Punjab,Corn,0.8,965.05,10.03,2.49,6,44.58,24.44,93.14,62.97,Organic Farming,725.85
1991,India,Tamil Nadu,Corn,-0.07,1684.5,6.74,1.43,9,77.44,13.84,39.15,86.99,Organic Farming,584.3
2007,India,Punjab,Cotton,14.93,2911.41,2.49,3.92,5,12.54,31.15,70.58,44.6,No Adaptation,1767.85
2024,India,Punjab,Coffee,13.52,2980.29,23.67,2.097,9,68.42,32.05,71.28,64.45,Crop Rotation,607.24
1992,India,West Bengal,Fruits,22.34,1562.49,10.57,2.05,8,71.65,30.37,2.41,57.01,Organic Farming,859.97
1992,India,Tamil Nadu,Coffee,10.23,1335.44,11.23,2.61,5,46.79,18.68,10.13,89.22,Crop Rotation,1104.97
